name,file,line_start,scc_id,scc_kind,translated
sam_hrecs_parse_single_line,htslib/header.c,906,,,FALSE
sam_hrecs_parse_lines,htslib/header.c,995,,,FALSE
sam_hdr_update_target_arrays,htslib/header.c,1073,,,FALSE
rebuild_target_arrays,htslib/header.c,1153,,,FALSE
string_dup,htslib/cram/string_alloc.c,149,,,TRUE
sam_hrecs_refs_from_targets_array,htslib/header.c,1181,,,FALSE
sam_hrecs_find_type_id,htslib/header.c,2865,,,FALSE
sam_hrecs_vadd,htslib/header.c,552,,,FALSE
sam_hrecs_add,htslib/header.c,681,,,FALSE
add_stub_ref_sq_lines,htslib/header.c,1266,,,FALSE
sam_hrecs_init_type_order,htslib/header.c,69,,,FALSE
string_pool_create,htslib/cram/string_alloc.c,55,,,TRUE
sam_hrecs_new,htslib/header.c,2732,,,FALSE
sam_hrecs_free,htslib/header.c,2812,,,FALSE
sam_hdr_fill_hrecs,htslib/header.c,1289,,,FALSE
sam_hdr_find_tag_id,htslib/header.c,2282,,,TRUE
sam_hdr_tid2name,htslib/header.c,2412,,,TRUE
zlib_mem_inflate,htslib/cram/cram_io.c,1068,,,TRUE
zlib_mem_inflate,htslib/cram/cram_io.c,1157,,,TRUE
lzma_mem_inflate,htslib/cram/cram_io.c,1313,,,TRUE
cram_uncompress_block,htslib/cram/cram_io.c,1576,,,TRUE
cram_ref_decr_locked,htslib/cram/cram_io.c,3189,,,TRUE
cram_ref_decr,htslib/cram/cram_io.c,3213,,,TRUE
fai_insert_index,htslib/faidx.c,93,,,FALSE
fai_destroy,htslib/faidx.c,448,,,TRUE
bgzf_htell,htslib/bgzf.c,993,,,TRUE
unpackInt16,htslib/bgzf.c,302,,,TRUE
bgzf_uncompress,htslib/bgzf.c,730,,,TRUE
bgzf_uncompress,htslib/bgzf.c,762,,,TRUE
inflate_block,htslib/bgzf.c,808,,,TRUE
inflate_gzip_block,htslib/bgzf.c,829,,,FALSE
check_header,htslib/bgzf.c,896,,,TRUE
load_block_from_cache,htslib/bgzf.c,918,,,FALSE
cache_block,htslib/bgzf.c,940,,,FALSE
hts_tpool_next_result_locked,htslib/thread_pool.c,149,,,FALSE
hts_tpool_next_result_wait,htslib/thread_pool.c,224,,,TRUE
hts_tpool_result_data,htslib/thread_pool.c,358,,,TRUE
bgzf_read_block,htslib/bgzf.c,1004,,,TRUE
bgzf_getc,htslib/bgzf.c,2277,,,TRUE
bgzf_utell,htslib/bgzf.c,2613,,,TRUE
fai_build_core,htslib/faidx.c,132,,,FALSE
hputs2,htslib/hfile.c,440,,,TRUE
hputs,htslib/htslib/hfile.h,275,,,TRUE
fai_save,htslib/faidx.c,352,,,FALSE
bgzf_index_build_init,htslib/bgzf.c,2345,,,TRUE
get_name_suffix,htslib/bgzf.c,2376,,,TRUE
hwrite_uint64,htslib/bgzf.c,2369,,,TRUE
bgzf_index_dump_hfile,htslib/bgzf.c,2385,,,TRUE
bgzf_index_dump,htslib/bgzf.c,2419,,,TRUE
kputd,htslib/kstring.c,38,,,TRUE
kvsprintf,htslib/kstring.c,142,,,TRUE
